churn,path
1,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/anomaly_severity_indicator.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/category_example_messages_empty_indicator.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/category_example_messages_failure_indicator.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_categories/sections/top_categories/category_example_messages_loading_indicator.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_categories/use_log_entry_categories_setup.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_rate/sections/anomalies/anomalies_swimlane_visualisation.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_rate/service_calls/get_log_entry_rate_examples.ts
1,x-pack/plugins/infra/public/pages/logs/log_entry_rate/setup_flyout.tsx
1,x-pack/plugins/infra/public/pages/logs/log_entry_rate/use_log_entry_rate_setup.tsx
1,x-pack/plugins/infra/public/pages/logs/settings/name_configuration_form_state.tsx
1,x-pack/plugins/infra/public/pages/metrics/components/error_message.tsx
1,x-pack/plugins/infra/public/pages/metrics/components/gauges_section_vis.tsx
1,x-pack/plugins/infra/public/pages/metrics/components/helpers.ts
1,x-pack/plugins/infra/public/pages/metrics/components/layout_content.tsx
1,x-pack/plugins/infra/public/pages/metrics/components/metadata_details.tsx
1,x-pack/plugins/infra/public/pages/metrics/components/page_error.tsx
1,x-pack/plugins/infra/public/pages/metrics/components/side_nav.tsx
1,x-pack/plugins/infra/public/pages/metrics/components/sub_section.tsx
1,x-pack/plugins/infra/public/pages/metrics/containers/metadata_context.ts
1,x-pack/plugins/infra/public/pages/metrics/containers/metrics_time.test.tsx
1,x-pack/plugins/infra/public/pages/metrics/hooks/metrics_time.test.tsx
1,x-pack/plugins/infra/public/pages/metrics/hooks/use_metrics_time.ts
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/anomalies_table/annomaly_summary.tsx
1,x-pack/plugins/infra/public/pages/metrics/inventory_view/components/ml/anomaly_detection/anomalies_table/pagination.tsx
