complexity,path
21,x-pack/plugins/infra/public/pages/metrics/inventory_view/lib/nodes_to_wafflemap.ts
5,x-pack/plugins/infra/public/pages/metrics/inventory_view/lib/size_of_squares.ts
3,x-pack/plugins/infra/public/pages/metrics/inventory_view/lib/sort_nodes.ts
4,x-pack/plugins/infra/public/pages/metrics/inventory_view/lib/type_guards.ts
13,x-pack/plugins/infra/public/pages/metrics/metric_detail/components/helpers.ts
8,x-pack/plugins/infra/public/pages/metrics/metric_detail/hooks/use_metadata.ts
10,x-pack/plugins/infra/public/pages/metrics/metric_detail/hooks/use_metrics_time.ts
1,x-pack/plugins/infra/public/pages/metrics/metric_detail/hooks/use_node_details.ts
3,x-pack/plugins/infra/public/pages/metrics/metric_detail/lib/get_filtered_metrics.ts
10,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/components/helpers/calculate_domain.ts
5,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/components/helpers/create_formatter_for_metric.ts
2,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/components/helpers/create_metric_label.ts
30,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/components/helpers/create_tsvb_link.ts
2,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/components/helpers/get_chart_theme.ts
9,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/components/helpers/metric_to_format.ts
7,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/hooks/use_metric_explorer_state.ts
15,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/hooks/use_metrics_explorer_data.ts
3,x-pack/plugins/infra/public/pages/metrics/metrics_explorer/hooks/use_metrics_explorer_options.ts
5,x-pack/plugins/infra/public/plugin.ts
9,x-pack/plugins/infra/public/test_utils/entries.ts
8,x-pack/plugins/infra/public/utils/convert_interval_to_string.ts
5,x-pack/plugins/infra/public/utils/data_search/normalize_data_search_responses.ts
3,x-pack/plugins/infra/public/utils/data_search/use_data_search_request.ts
2,x-pack/plugins/infra/public/utils/data_search/use_data_search_response_state.ts
76,x-pack/plugins/infra/public/utils/datemath.ts
1,x-pack/plugins/infra/public/utils/handlers.ts
5,x-pack/plugins/infra/public/utils/kuery.ts
3,x-pack/plugins/infra/public/utils/loading_state/loading_result.ts
5,x-pack/plugins/infra/public/utils/log_entry/log_entry.ts
3,x-pack/plugins/infra/public/utils/log_entry/log_entry_highlight.ts
6,x-pack/plugins/infra/public/utils/logs_overview_fetchers.ts
1,x-pack/plugins/infra/public/utils/map_timepicker_quickranges_to_datepicker_ranges.ts
6,x-pack/plugins/infra/public/utils/source_configuration.ts
12,x-pack/plugins/infra/public/utils/styles.ts
3,x-pack/plugins/infra/public/utils/typed_redux.ts
1,x-pack/plugins/infra/public/utils/use_kibana_ui_setting.ts
34,x-pack/plugins/infra/public/utils/use_tracked_promise.ts
18,x-pack/plugins/infra/public/utils/use_url_state.ts
2,x-pack/plugins/infra/public/utils/use_viewport_dimensions.ts
3,x-pack/plugins/infra/public/alerting/common/components/metrics_alert_dropdown.tsx
16,x-pack/plugins/infra/public/alerting/common/criterion_preview_chart/criterion_preview_chart.tsx
10,x-pack/plugins/infra/public/alerting/common/criterion_preview_chart/threshold_annotations.tsx
2,x-pack/plugins/infra/public/alerting/common/group_by_expression/group_by_expression.tsx
2,x-pack/plugins/infra/public/alerting/inventory/components/alert_flyout.tsx
1,x-pack/plugins/infra/public/alerting/inventory/components/expression.test.tsx
58,x-pack/plugins/infra/public/alerting/inventory/components/expression.tsx
19,x-pack/plugins/infra/public/alerting/inventory/components/expression_chart.tsx
24,x-pack/plugins/infra/public/alerting/inventory/components/metric.tsx
1,x-pack/plugins/infra/public/alerting/inventory/components/node_type.tsx
39,x-pack/plugins/infra/public/alerting/inventory/components/validation.tsx
3,x-pack/plugins/infra/public/alerting/log_threshold/components/alert_dropdown.tsx
2,x-pack/plugins/infra/public/alerting/log_threshold/components/alert_flyout.tsx
